rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1376.17,4172.03,2311.97,1742.62,2246.46,59396.4,2589.36,6236.68,2554.85,7661.72,1154.94,1280.03,1536.84,7256,40140.9,4929.29,6527.76,7424.34,6336.33,4654.54,13464.7,2325.8,2502.42,3449.16,7215.18,4131.79,2442.59,8370.84,14706.1,20119.6,5289.69,848.279,16313.4,6029.22,2974.71,2596.15,1201.25,1690.47,2689.37,1338.24,577.167,593.322,1472.81,7242.51,2344.45,2722.35,1161.46,479.544,1244.42,500.801,963.098,9997.7,1140.55,3023.21,1767.12,1340.98,1078.85,1963.48,997.026,2744.73,5094.71,1746.74,960.322
1670.38,4178.15,2288.97,3136.09,3485.24,53422.5,5301.99,2665.15,2687.36,3918.6,1169.26,360.151,1515.62,2260.72,54529.5,2125.24,562.911,6068.64,8019.26,4531.14,2532.57,11291.1,2312.02,6568.03,2670.55,1793.6,3950.93,1820.18,30494.3,18594.3,1088.42,5381.05,5503.06,4728.15,6800.22,800.326,1404.1,1475.24,5187.05,1724.74,898.008,1088.12,443.201,4185.69,3182.03,1724.02,3415.49,996.037,123.216,430.319,1218.36,7768.1,1291.08,3134,1850.43,685.076,1504.69,1117.55,2069.5,851.237,5182.43,5635.4,5890.79
6165.87,2801.57,1142.64,1458.12,1907.85,40827.9,10013.5,8689.68,4355.59,1305.91,1152.69,817.303,4995.29,4115.08,41593,5419.06,8118.66,4013.93,6009.72,2602.91,5310.68,12010.5,5625.75,3862.89,2511.98,3039.79,1481.86,1544.62,12147.2,37449.2,2173.78,2395.31,2574.61,12116.7,1699.13,2364.12,1968.39,2221.69,2917.96,581.102,873.415,1659.89,1152.25,2630.76,3521.63,1919.6,1090.19,686.126,923.6,798.572,6336.96,2998.66,2048.78,1282.2,580.637,1679.04,2420.67,1599.21,1276.41,604.431,4274.53,1240.64,1574.71
4333.7,5093.69,3647.53,2873.08,5652.91,56181,3789.8,9640.87,1290.61,1389.95,1346.25,1391.2,2055.59,2981.37,59115.3,3804.38,4868.95,6825.85,2440.71,2913.09,13842.8,5493.08,5744.69,3282.49,8032.98,2461.68,5966.45,4326.52,21055.6,25084.1,1900.16,5329.51,4151.34,17130,888.759,728.837,808.193,2509.67,2910.76,1791.74,388.343,1392.44,1387.49,3999.88,4157.37,3160.43,1214.42,1044.55,1529.71,915.869,6226.4,2552.69,4133.96,3091.09,1316.28,980.688,2797.07,1657.25,1013.29,2268.83,6398.16,1621.64,1515.25
2076.33,7504.51,1684.96,1818.05,1671.33,61302,1224.68,1194.61,3212.62,2285.56,1221.5,2737.06,4202.81,3316.19,47533.1,793.299,3488.17,10485.3,2271.4,8819.17,8999.18,2476.48,7760.13,4509.06,2598.14,5834.31,2898.62,1767.38,14465.2,25248.1,3322.08,2766.47,12930.9,8688.89,1883.81,2095.4,1755.63,1028.73,2218.62,2076.34,968.615,532.908,1995.94,7251.32,1490.76,1073.96,2511.01,931.36,1866.33,591.602,3952.74,2552.02,3680.08,1178.69,1489.64,2904.34,1112.49,2081.52,1233.91,1787.67,4496.12,2169.43,1330.38
4508.95,2742.56,2418.59,1828.91,6543.25,54971.3,9163.74,6067.71,9004.02,3072.21,630.134,705.535,3439.92,7651.09,42208.1,9322.88,4864.66,7596.96,2471.52,12171.4,5971.86,1754.96,11334.7,5631.96,3293.95,2736.25,6466.2,8595.97,8832.33,34489.4,1478.36,4442.53,6130.22,13650.7,976.253,2315.04,1976.57,1201.71,4396.62,1094.19,1364.8,1575.82,1074.82,1493.83,10177.1,1566.85,3045.97,1374.07,1128.03,395.984,3951.6,3814.94,6710.3,5054.29,343.878,2087.88,2477.77,602.379,1955.15,1815.11,6486.1,3279.55,6207.08
5114.45,521.714,2964.06,1293.1,3393.73,61758.3,2299.24,2122.18,1360.04,2432.52,877.836,567.73,2167,1107.18,49916.9,1152.23,2927.91,2171.39,2543.6,15974.7,1049.55,8698.92,4144.01,2048.85,2884.58,2152.54,7905.73,2499.26,6755.45,30118.7,2617.15,2754.62,10838.7,12838.8,1238.7,806.538,553.361,1871.06,1491.88,1512.74,972.692,442.904,1583.32,1538.12,6124.98,1296.55,1033.28,574.225,866.572,891.865,3098.57,4936.72,2481.83,2425.72,1289.9,1667.75,2145.81,2107.85,1253.16,2133.37,5151.78,1128.58,2184.07
2871.21,3668.9,1380.96,1762.42,2329.98,57065.7,2006.68,7550.26,3304.84,2462.54,570.083,1676.08,2861.27,910.456,51765.8,3012.62,2373.24,9558.66,2928.94,11270.1,2165.54,2753.22,8408.21,4203.72,2693.11,777.321,4019.99,6556.04,12848.4,36515.8,1126.42,2853.21,7087.83,5300.26,1684.65,3393.55,805.218,2523.3,2501.83,448.16,1489.51,2139.77,800.519,1664.95,7856.21,2474.93,1024.85,189.486,1308.46,476.512,3950.21,5112.03,4395.12,1934.26,1102.45,1522.4,701.65,1769.96,1865.33,2551.43,5080.29,2218.99,1153.5
4797.29,4330.13,1785.68,548.959,3738.63,63745.5,1962.49,1070.67,5088.21,3424.04,1123.04,2359,1639.6,3279.6,42428.5,1037.38,7499.41,6771.67,7557.07,12016.6,1631.05,12105.1,2355.72,5732.73,839.631,1667.69,8223.88,6604.32,9795.95,29974.5,2479.11,1227.1,5628.42,13934.1,753.882,2086.47,833.844,617.242,3265.1,1067.62,633.464,882.74,1219.89,7969.87,2299.61,1471.88,1992.83,709.641,1025.76,1156.86,3110.16,8466.65,2352.85,2254.99,2328.05,1079.03,2090.91,1452.2,1823.84,1860.39,5034.06,1158.19,2077.35
4272.02,1379.08,3327.53,1280.79,2129.44,60913.4,1680.03,1272.74,4527.98,1760.73,3285.59,1245.04,3870.06,2290.65,48017.2,1430.51,5146.05,4050.46,3680.07,11363,2414.39,13311.4,1203.06,4609.97,7287.48,973.328,3624.25,3881.56,14108.6,28566.6,4806.49,3958.22,3150.19,12319.9,1143.54,1371.42,2123.07,2062.19,965.971,2139.48,1261.14,703.11,2002.72,3405.02,2845.73,1478.99,1739.39,652.27,1441.26,925.381,4013.69,4422.62,1521.01,1695.99,1641.87,1320.6,2008.38,1860.73,714.819,1358.62,4122.31,1835.9,2846.55
